560000	2004	Suzuki	Escudo	 бензин, 2000 куб.см	 автомат	 4WD	 110000	 правый	 Продам средне-размерный лёгкий танк (рама, механическая раздатка 2wd/4wd/4wd с понижайкой, АКПП) – идеальный вариант, как для города, так и для поездок на охоту-рыбалку. В полном комплекте со всем необходимым.	 Новосибирск	9158907	04-07-2013	
360000	1991	Suzuki	Escudo	 бензин, 1600 куб.см	 автомат	 4WD	null	 правый	 Смотрите фото,  все вопросы по телефону	 Новосибирск	11339640	21-06-2013	
335000	1998	Suzuki	Escudo	 бензин, 2000 куб.см	 автомат	 4WD	null	 правый	 ВНИМАНИЕ! ВРЕМЕННО СНЯТА С ПРОДАЖИ, ДАЛИ ЗАДАТОК ДО 04.07.2013г. 	 Новосибирск	11028002	29-06-2013	
530000	2004	Suzuki	Escudo	 бензин	 автомат	 4WD	null	 правый	 отличный внедарожник.торг	 Новосибирск	10100645	10-04-2013	
530000	2001	Suzuki	Escudo	 бензин, 2000 куб.см	 автомат	 4WD	 140000	 правый	 Продается Suzuki Escudo год выпуска декабрь 2001 г. Двигатель 2 л. 150 л. с. 	 Новосибирск	11314529	19-06-2013	
203000	1992	Suzuki	Escudo	 бензин, 1600 куб.см	 автомат	 4WD	 252000	 правый	 Продам надежного друга, внедорожник! ХТС, все работает, раздатка включается, хабы автомат, новые японские гранаты, резина 2258515 Yokohama, зимняя в подарок! разумный торг возле авто, перекупам не беспокоить! + к нему мотоцикл Racer Panther (http://moto.drom.ru/prodam-motocikl-racer-panther-enduro-20682563.html) ЗА КОМПЛЕКТ ЦЕНА 250 000 т.р. без торга!!! Обмен только на УАЗ Патриот свежего года!!!	 Новосибирск	11462930	10-07-2013	
200000	1994	Suzuki	Escudo	 бензин, 1600 куб.см	 автомат	 4WD	null	 правый	null	 Новосибирск	11183677	09-07-2013	
160000	1991	Suzuki	Escudo	 бензин, 1600 куб.см	 автомат	 4WD	null	 правый	 ХТС,  сугнализация о/с и а/з,  торг. только продажа.	 Новосибирск	11298305	18-06-2013	
193000	1991	Suzuki	Escudo	 бензин	 автомат	 4WD	null	 правый	 ХТС	 Новосибирск	10783087	29-04-2013	
699000	2008	Suzuki	Escudo	 бензин, 2000 куб.см	 автомат	 4WD	 70000	 правый	 Цвет белый,  подогрев передних сидений,  ксенон,  сигнализация, второй комплект резины на литье в подарок, ТОЛЬКО ДЕНЬГИ!	 Новосибирск	10435924	08-07-2013	
180000	1994	Suzuki	Escudo	 бензин, 1600 куб.см	 автомат	 4WD	 230000	 правый	 Коротыш,  ХТС,  ПТС - оригинал,  4 хозяина. Зазоры четкие,  все стекла родные,  японские. Чистый,  не прокуреный салон,  2 комплекта резины.	 Новосибирск	11243163	12-06-2013	
180000	1992	Suzuki	Escudo	 1600 куб.см	 автомат	 4WD	null	 правый	 Двигатель: G 16А объемом 1600 куб. см. мощностью 115л. с. Расход на 100 км. 8- 9л. по городу. Двигатель работает ровно, тихо. Двигатель - отличное техническое состояние. , 	 Новосибирск	11399029	11-07-2013	
330000	1997	Suzuki	Escudo	 бензин, 1600 куб.см	 автомат	 4WD	null	 правый	 возможен торг при осмотре	 Новосибирск	11374681	25-06-2013	
199000	1993	Suzuki	Escudo	 бензин, 1600 куб.см	 механика	 4WD	null	 правый	 Отличный рамный внедорожник японского производства .	 Новосибирск	10844213	07-07-2013	
330000	1997	Suzuki	Escudo	 бензин, 2000 куб.см	 автомат	 4WD	 190000	 правый	 Комплектация TD51W	 Новосибирск	6665167	17-09-2012	
680000	2007	Suzuki	Escudo	 бензин, 2000 куб.см	 автомат	 4WD	 65000	 правый	 о. т. с салон, мульти руль, подогрев сидений передних- зеркал, заводской ксенон, машина использовалась по мере надобности.	 Новосибирск	10754430	29-06-2013	
212000	1993	Suzuki	Escudo	 бензин, 1600 куб.см	 автомат	 4WD	 250000	 правый	null	 Новосибирск	11145993	26-06-2013	
300000	1996	Suzuki	Escudo	 бензин, 1600 куб.см	 автомат	 4WD	null	 правый	null	 Новосибирск	11147710	10-06-2013	
100000	1998	Suzuki	Escudo	 2000 куб.см	 автомат	 4WD	null	 правый	null	 Новосибирск	8088177	02-08-2012	
270000	1992	Suzuki	Escudo	 бензин, 1600 куб.см	 автомат	 4WD	null	null	 силовые бампера, экспедиционый багажник, шноркел, радиостанция. В соревнованиях не участвовала.	 Новосибирск	11232254	11-06-2013	
